216.180.246.169 - - [02/Dec/2025:11:39:11 +0000] "\x16\x03\x01\x00\xEE\x01\x00\x00\xEA\x03\x03\x15\x83\xC2Z\xF7f\xDA\x06G\x9D\xCF\x95\xD4sf\xAB\x80\xAB\xCD}\x13%\xBA'\xC3\x1Dq\xC24\xEE" 400 150 "-" "-" "-"
216.180.246.169 - - [02/Dec/2025:11:41:11 +0000] "GET / HTTP/1.1" 200 17275 "-" "'Mozilla/5.0 (compatible; GenomeCrawlerd/1.0; +https://www.nokia.com/genomecrawler)'" "-"
20.64.105.81 - - [02/Dec/2025:11:46:08 +0000] "GET / HTTP/1.1" 200 17275 "-" "Mozilla/5.0 zgrab/0.x" "-"
172.236.228.202 - - [02/Dec/2025:11:54:16 +0000] "GET / HTTP/1.1" 200 17275 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 13_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/108.0.0.0 Safari/537.36" "-"
45.142.193.171 - - [02/Dec/2025:12:00:38 +0000] "POST /cgi-bin/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/.%2e/bin/sh HTTP/1.1" 400 150 "-" "-" "-"
45.142.193.171 - - [02/Dec/2025:12:00:38 +0000] "POST /cgi-bin/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/%%32%65%%32%65/bin/sh HTTP/1.1" 400 150 "-" "-" "-"
45.142.193.171 - - [02/Dec/2025:12:00:39 +0000] "POST /hello.world?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 200 5 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:39 +0000] "POST /?%ADd+allow_url_include%3d1+%ADd+auto_prepend_file%3dphp://input HTTP/1.1" 200 5 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:39 +0000] "GET /vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:39 +0000] "GET /vendor/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:40 +0000] "GET /vendor/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:40 +0000] "GET /vendor/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:40 +0000] "GET /vendor/phpunit/phpunit/LICENSE/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:40 +0000] "GET /vendor/vendor/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:40 +0000] "GET /phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:40 +0000] "GET /phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:41 +0000] "GET /phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:41 +0000] "GET /phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:41 +0000] "GET /lib/phpunit/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:41 +0000] "GET /lib/phpunit/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:41 +0000] "GET /lib/phpunit/src/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
45.142.193.171 - - [02/Dec/2025:12:00:41 +0000] "GET /lib/phpunit/Util/PHP/eval-stdin.php HTTP/1.1" 200 17275 "-" "libredtail-http" "-"
